NoiseSTD,Classifier,Accuracy,Sensitivity
0.0,Logistic Regression,0.7603498542274052,0.7622567278501725
0.0,SVM (RBF Kernel),0.8402332361516036,0.8329114853912116
0.0,k-NN,0.79067055393586,0.7745185265944566
0.0,Random Forest,0.8588921282798833,0.85091185211429
0.0,RDA (QDA+reg),0.7603498542274053,0.7377659565169254
0.05,Logistic Regression,0.7597667638483965,0.7613427394206597
0.05,SVM (RBF Kernel),0.8431486880466472,0.8356282898989598
0.05,k-NN,0.7912536443148688,0.7751942335593913
0.05,Random Forest,0.8571428571428571,0.8493218249493635
0.05,RDA (QDA+reg),0.7638483965014577,0.7411809360515285
0.1,Logistic Regression,0.7533527696793003,0.7557445826674251
0.1,SVM (RBF Kernel),0.8402332361516036,0.8330250619154069
0.1,k-NN,0.79067055393586,0.774526039153945
0.1,Random Forest,0.8641399416909621,0.855152850366838
0.1,RDA (QDA+reg),0.7615160349854228,0.7396796298999101
0.2,Logistic Regression,0.7556851311953353,0.7592543510768491
0.2,SVM (RBF Kernel),0.8379008746355685,0.8313690255259735
0.2,k-NN,0.7865889212827989,0.770885475128277
0.2,Random Forest,0.8612244897959183,0.8528902152138548
0.2,RDA (QDA+reg),0.758600583090379,0.7374620458928927
0.4,Logistic Regression,0.7457725947521865,0.7489045887944108
0.4,SVM (RBF Kernel),0.8402332361516034,0.8329019027421982
0.4,k-NN,0.7778425655976676,0.761679328348771
0.4,Random Forest,0.8559766763848395,0.8470330377988795
0.4,RDA (QDA+reg),0.7655976676384839,0.7477657225997185
0.6,Logistic Regression,0.7335276967930029,0.7355866972876813
0.6,SVM (RBF Kernel),0.8396501457725949,0.8323771038989799
0.6,k-NN,0.7673469387755102,0.748749942345252
0.6,Random Forest,0.8583090379008746,0.8492685523980651
0.6,RDA (QDA+reg),0.751603498542274,0.736506315921019
0.8,Logistic Regression,0.7364431486880466,0.7395501278889386
0.8,SVM (RBF Kernel),0.8390670553935861,0.8321136608730189
0.8,k-NN,0.7743440233236152,0.7591974692919365
0.8,Random Forest,0.855393586005831,0.8476504843970225
0.8,RDA (QDA+reg),0.7422740524781342,0.7297323897398167
1.0,Logistic Regression,0.7364431486880466,0.7384629449571819
1.0,SVM (RBF Kernel),0.8367346938775511,0.8271125689162938
1.0,k-NN,0.7556851311953353,0.7345795832383593
1.0,Random Forest,0.850728862973761,0.8417180160087154
1.0,RDA (QDA+reg),0.7026239067055393,0.6900724330602073
